repo,quarter,quarter_start,n_prs,median_ttm_days
ClimaLand,2024-Q3,2024-07-01,66,1.0691724537037037
ClimaLand,2024-Q4,2024-10-01,84,1.4844907407407408
ClimaLand,2025-Q1,2025-01-01,60,1.2669155092592592
ClimaLand,2025-Q2,2025-04-01,64,0.9864293981481481
ClimaLand,2025-Q3,2025-07-01,132,1.1305729166666665
ClimaLand,2025-Q4,2025-10-01,51,2.9103125
ClimaLand,2026-Q1,2026-01-01,68,1.9378703703703704
ClimaLand,2026-Q2,2026-04-01,39,0.9476157407407407
ClimaOcean,2022-Q4,2022-10-01,1,3.4565740740740742
ClimaOcean,2023-Q1,2023-01-01,2,0.4992476851851852
ClimaOcean,2023-Q2,2023-04-01,2,40.97816550925926
ClimaOcean,2023-Q3,2023-07-01,1,0.02060185185185185
ClimaOcean,2023-Q4,2023-10-01,7,2.5751157407407406
ClimaOcean,2024-Q1,2024-01-01,6,1.4102835648148149
ClimaOcean,2024-Q2,2024-04-01,10,0.6786689814814815
ClimaOcean,2024-Q3,2024-07-01,24,0.6281365740740741
ClimaOcean,2024-Q4,2024-10-01,69,1.0819560185185184
ClimaOcean,2025-Q1,2025-01-01,77,0.6744444444444444
ClimaOcean,2025-Q2,2025-04-01,70,0.7925520833333333
ClimaOcean,2025-Q3,2025-07-01,28,0.6861921296296296
ClimaOcean,2025-Q4,2025-10-01,41,1.049247685185185
ClimaOcean,2026-Q1,2026-01-01,31,0.8390393518518519
ClimaOcean,2026-Q2,2026-04-01,8,0.7962210648148148
ClimaParams,2020-Q1,2020-01-01,7,0.003738425925925926
ClimaParams,2020-Q2,2020-04-01,17,0.05619212962962963
ClimaParams,2020-Q3,2020-07-01,4,0.01691550925925926
ClimaParams,2020-Q4,2020-10-01,2,0.08114583333333333
ClimaParams,2021-Q1,2021-01-01,3,2.065
ClimaParams,2021-Q3,2021-07-01,5,0.1024537037037037
ClimaParams,2021-Q4,2021-10-01,2,0.32578703703703704
ClimaParams,2022-Q1,2022-01-01,6,0.5621238425925926
ClimaParams,2022-Q2,2022-04-01,18,0.0355787037037037
ClimaParams,2022-Q3,2022-07-01,7,0.03802083333333333
ClimaParams,2023-Q1,2023-01-01,4,3.9444675925925923
ClimaParams,2023-Q2,2023-04-01,5,0.8489351851851852
ClimaParams,2023-Q3,2023-07-01,26,0.0778125
ClimaParams,2023-Q4,2023-10-01,10,0.06681712962962963
ClimaParams,2024-Q1,2024-01-01,31,0.7312731481481481
ClimaParams,2024-Q2,2024-04-01,6,0.43878472222222226
ClimaParams,2024-Q3,2024-07-01,9,0.020069444444444445
ClimaParams,2024-Q4,2024-10-01,4,0.030219907407407404
ClimaParams,2025-Q1,2025-01-01,8,0.5243865740740741
ClimaParams,2025-Q2,2025-04-01,13,0.19208333333333333
ClimaParams,2025-Q3,2025-07-01,13,0.656875
ClimaParams,2025-Q4,2025-10-01,16,0.09537037037037037
ClimaParams,2026-Q1,2026-01-01,9,0.15109953703703705
ClimaParams,2026-Q2,2026-04-01,2,0.12274884259259258
ClimaSeaIce,2023-Q2,2023-04-01,2,0.021440972222222222
ClimaSeaIce,2023-Q3,2023-07-01,7,0.9569675925925926
ClimaSeaIce,2023-Q4,2023-10-01,5,0.8320138888888889
ClimaSeaIce,2024-Q1,2024-01-01,1,3.182615740740741
ClimaSeaIce,2024-Q2,2024-04-01,2,8.712395833333334
ClimaSeaIce,2024-Q3,2024-07-01,3,14.873773148148148
ClimaSeaIce,2024-Q4,2024-10-01,7,2.0421643518518517
ClimaSeaIce,2025-Q1,2025-01-01,14,0.12498842592592593
ClimaSeaIce,2025-Q2,2025-04-01,10,0.39146412037037037
ClimaSeaIce,2025-Q3,2025-07-01,9,0.2663425925925926
ClimaSeaIce,2025-Q4,2025-10-01,9,0.2863657407407407
ClimaSeaIce,2026-Q1,2026-01-01,17,0.519375
ClimaSeaIce,2026-Q2,2026-04-01,15,1.2138773148148148
ClimaTimeSteppers,2020-Q3,2020-07-01,6,0.4071585648148148
ClimaTimeSteppers,2020-Q4,2020-10-01,8,0.5675115740740742
ClimaTimeSteppers,2022-Q1,2022-01-01,6,0.023408564814814813
ClimaTimeSteppers,2022-Q2,2022-04-01,3,0.06988425925925926
ClimaTimeSteppers,2022-Q3,2022-07-01,10,0.05367476851851852
ClimaTimeSteppers,2022-Q4,2022-10-01,54,0.05190972222222222
ClimaTimeSteppers,2023-Q1,2023-01-01,23,0.10689814814814814
ClimaTimeSteppers,2023-Q2,2023-04-01,6,0.3001736111111111
ClimaTimeSteppers,2023-Q3,2023-07-01,18,0.56984375
ClimaTimeSteppers,2023-Q4,2023-10-01,9,0.16042824074074075
ClimaTimeSteppers,2024-Q1,2024-01-01,21,0.09403935185185185
ClimaTimeSteppers,2024-Q2,2024-04-01,21,0.0006134259259259259
ClimaTimeSteppers,2024-Q3,2024-07-01,8,0.12493634259259259
ClimaTimeSteppers,2024-Q4,2024-10-01,12,0.042569444444444444
ClimaTimeSteppers,2025-Q1,2025-01-01,15,1.0010416666666666
ClimaTimeSteppers,2025-Q2,2025-04-01,5,0.19550925925925927
ClimaTimeSteppers,2025-Q4,2025-10-01,1,0.20877314814814815
ClimaTimeSteppers,2026-Q1,2026-01-01,14,1.260011574074074
ClimaTimeSteppers,2026-Q2,2026-04-01,8,6.289722222222222
ClimaUtilities,2023-Q3,2023-07-01,5,7.424699074074074
ClimaUtilities,2024-Q1,2024-01-01,1,6.970266203703703
ClimaUtilities,2024-Q2,2024-04-01,26,1.6236226851851852
ClimaUtilities,2024-Q3,2024-07-01,21,0.9317824074074074
ClimaUtilities,2024-Q4,2024-10-01,23,2.883136574074074
ClimaUtilities,2025-Q1,2025-01-01,9,2.7717592592592593
ClimaUtilities,2025-Q2,2025-04-01,3,0.877650462962963
ClimaUtilities,2025-Q3,2025-07-01,8,4.275185185185185
ClimaUtilities,2025-Q4,2025-10-01,7,4.018402777777778
ClimaUtilities,2026-Q1,2026-01-01,7,3.765763888888889
ClimaUtilities,2026-Q2,2026-04-01,3,0.09766203703703703
CloudMicrophysics,2021-Q3,2021-07-01,24,0.12369791666666666
CloudMicrophysics,2021-Q4,2021-10-01,2,1.8808391203703705
CloudMicrophysics,2022-Q1,2022-01-01,3,0.0440162037037037
CloudMicrophysics,2022-Q2,2022-04-01,5,0.4607986111111111
CloudMicrophysics,2022-Q3,2022-07-01,11,1.0209953703703705
CloudMicrophysics,2022-Q4,2022-10-01,1,0.7257754629629629
CloudMicrophysics,2023-Q1,2023-01-01,4,2.372621527777778
CloudMicrophysics,2023-Q2,2023-04-01,18,1.063153935185185
CloudMicrophysics,2023-Q3,2023-07-01,40,0.9945486111111111
CloudMicrophysics,2023-Q4,2023-10-01,21,0.6347337962962963
CloudMicrophysics,2024-Q1,2024-01-01,48,1.2946296296296298
CloudMicrophysics,2024-Q2,2024-04-01,36,0.7420833333333333
CloudMicrophysics,2024-Q3,2024-07-01,29,0.9668171296296296
CloudMicrophysics,2024-Q4,2024-10-01,25,0.7869791666666667
CloudMicrophysics,2025-Q1,2025-01-01,22,0.8233854166666668
CloudMicrophysics,2025-Q2,2025-04-01,46,0.9598726851851851
CloudMicrophysics,2025-Q3,2025-07-01,24,2.9374652777777777
CloudMicrophysics,2025-Q4,2025-10-01,5,0.19152777777777777
CloudMicrophysics,2026-Q1,2026-01-01,33,0.8926967592592593
CloudMicrophysics,2026-Q2,2026-04-01,7,4.907407407407407
EnsembleKalmanProcesses,2021-Q1,2021-01-01,9,0.043506944444444445
EnsembleKalmanProcesses,2021-Q2,2021-04-01,12,11.507824074074074
EnsembleKalmanProcesses,2021-Q3,2021-07-01,11,4.631886574074074
EnsembleKalmanProcesses,2021-Q4,2021-10-01,22,0.8269907407407407
EnsembleKalmanProcesses,2022-Q1,2022-01-01,29,0.06173611111111111
EnsembleKalmanProcesses,2022-Q2,2022-04-01,23,0.11837962962962963
EnsembleKalmanProcesses,2022-Q3,2022-07-01,37,0.06784722222222223
EnsembleKalmanProcesses,2022-Q4,2022-10-01,17,0.5324768518518519
EnsembleKalmanProcesses,2023-Q1,2023-01-01,10,0.5656597222222223
EnsembleKalmanProcesses,2023-Q2,2023-04-01,17,0.14083333333333334
EnsembleKalmanProcesses,2023-Q3,2023-07-01,10,0.6705381944444445
EnsembleKalmanProcesses,2023-Q4,2023-10-01,20,0.8145428240740741
EnsembleKalmanProcesses,2024-Q1,2024-01-01,3,12.060462962962964
EnsembleKalmanProcesses,2024-Q2,2024-04-01,2,74.84686921296296
EnsembleKalmanProcesses,2024-Q3,2024-07-01,13,0.07552083333333333
EnsembleKalmanProcesses,2024-Q4,2024-10-01,7,0.12129629629629629
EnsembleKalmanProcesses,2025-Q1,2025-01-01,21,0.4828587962962963
EnsembleKalmanProcesses,2025-Q2,2025-04-01,16,0.6235648148148147
EnsembleKalmanProcesses,2025-Q3,2025-07-01,5,3.031527777777778
EnsembleKalmanProcesses,2025-Q4,2025-10-01,5,3.855636574074074
EnsembleKalmanProcesses,2026-Q1,2026-01-01,7,0.6907407407407408
EnsembleKalmanProcesses,2026-Q2,2026-04-01,4,0.5327719907407408
Insolation,2020-Q2,2020-04-01,1,0.006006944444444444
Insolation,2020-Q3,2020-07-01,3,0.01170138888888889
Insolation,2021-Q1,2021-01-01,8,0.01082175925925926
Insolation,2021-Q2,2021-04-01,1,0.030925925925925926
Insolation,2021-Q3,2021-07-01,6,3.089421296296296
Insolation,2022-Q2,2022-04-01,6,0.006221064814814815
Insolation,2022-Q4,2022-10-01,1,0.015775462962962963
Insolation,2023-Q2,2023-04-01,5,0.08107638888888889
Insolation,2023-Q4,2023-10-01,11,0.049965277777777775
Insolation,2024-Q1,2024-01-01,9,0.6891666666666667
Insolation,2024-Q2,2024-04-01,2,0.14086805555555557
Insolation,2024-Q3,2024-07-01,1,1.8062731481481482
Insolation,2025-Q3,2025-07-01,4,0.041249999999999995
Insolation,2025-Q4,2025-10-01,7,1.838125
Insolation,2026-Q1,2026-01-01,5,0.746099537037037
Insolation,2026-Q2,2026-04-01,1,9.897766203703704
Oceananigans,2018-Q4,2018-10-01,5,0.004930555555555555
Oceananigans,2019-Q1,2019-01-01,27,0.1709490740740741
Oceananigans,2019-Q2,2019-04-01,67,0.13365740740740742
Oceananigans,2019-Q3,2019-07-01,61,0.6156481481481482
Oceananigans,2019-Q4,2019-10-01,68,2.3745949074074075
Oceananigans,2020-Q1,2020-01-01,55,1.3752893518518519
Oceananigans,2020-Q2,2020-04-01,32,0.9992708333333333
Oceananigans,2020-Q3,2020-07-01,123,0.5647916666666667
Oceananigans,2020-Q4,2020-10-01,99,1.2838078703703704
Oceananigans,2021-Q1,2021-01-01,118,0.8026215277777777
Oceananigans,2021-Q2,2021-04-01,121,0.6027083333333333
Oceananigans,2021-Q3,2021-07-01,106,0.557199074074074
Oceananigans,2021-Q4,2021-10-01,64,0.9699826388888889
Oceananigans,2022-Q1,2022-01-01,118,0.7731828703703704
Oceananigans,2022-Q2,2022-04-01,112,0.8153009259259258
Oceananigans,2022-Q3,2022-07-01,59,2.8075578703703705
Oceananigans,2022-Q4,2022-10-01,36,0.9951620370370371
Oceananigans,2023-Q1,2023-01-01,75,1.612037037037037
Oceananigans,2023-Q2,2023-04-01,50,3.44099537037037
Oceananigans,2023-Q3,2023-07-01,53,1.262511574074074
Oceananigans,2023-Q4,2023-10-01,46,2.7762268518518516
Oceananigans,2024-Q1,2024-01-01,52,4.284409722222222
Oceananigans,2024-Q2,2024-04-01,53,2.964166666666667
Oceananigans,2024-Q3,2024-07-01,69,2.413946759259259
Oceananigans,2024-Q4,2024-10-01,103,2.8137268518518517
Oceananigans,2025-Q1,2025-01-01,165,0.7199884259259259
Oceananigans,2025-Q2,2025-04-01,182,0.8806076388888889
Oceananigans,2025-Q3,2025-07-01,92,0.9717418981481482
Oceananigans,2025-Q4,2025-10-01,183,0.7304976851851852
Oceananigans,2026-Q1,2026-01-01,205,0.6649884259259259
Oceananigans,2026-Q2,2026-04-01,95,1.085798611111111
RRTMGP,2019-Q3,2019-07-01,49,0.011990740740740741
RRTMGP,2019-Q4,2019-10-01,113,0.02863425925925926
RRTMGP,2020-Q1,2020-01-01,25,0.01576388888888889
RRTMGP,2020-Q2,2020-04-01,9,0.8688310185185185
RRTMGP,2020-Q3,2020-07-01,5,0.04434027777777778
RRTMGP,2021-Q1,2021-01-01,6,1.4631076388888888
RRTMGP,2021-Q3,2021-07-01,7,0.013819444444444445
RRTMGP,2022-Q1,2022-01-01,5,0.01678240740740741
RRTMGP,2022-Q2,2022-04-01,9,0.009953703703703704
RRTMGP,2022-Q3,2022-07-01,12,0.04003472222222222
RRTMGP,2022-Q4,2022-10-01,3,0.025439814814814814
RRTMGP,2023-Q1,2023-01-01,11,0.855474537037037
RRTMGP,2023-Q2,2023-04-01,26,0.05165509259259259
RRTMGP,2023-Q3,2023-07-01,5,0.16604166666666667
RRTMGP,2023-Q4,2023-10-01,12,0.3332638888888889
RRTMGP,2024-Q1,2024-01-01,48,0.08831018518518519
RRTMGP,2024-Q2,2024-04-01,23,0.06222222222222222
RRTMGP,2024-Q3,2024-07-01,22,0.055150462962962964
RRTMGP,2024-Q4,2024-10-01,10,0.21403935185185186
RRTMGP,2025-Q1,2025-01-01,10,0.6112615740740741
RRTMGP,2025-Q2,2025-04-01,5,13.995277777777778
RRTMGP,2025-Q3,2025-07-01,3,0.1278587962962963
RRTMGP,2025-Q4,2025-10-01,1,0.048541666666666664
RRTMGP,2026-Q1,2026-01-01,7,0.15643518518518518
RRTMGP,2026-Q2,2026-04-01,3,0.7800115740740741
SurfaceFluxes,2021-Q3,2021-07-01,6,0.00984375
SurfaceFluxes,2021-Q4,2021-10-01,4,0.11489583333333334
SurfaceFluxes,2022-Q1,2022-01-01,4,0.006186342592592592
SurfaceFluxes,2022-Q2,2022-04-01,8,0.012777777777777777
SurfaceFluxes,2022-Q3,2022-07-01,18,0.09026041666666668
SurfaceFluxes,2022-Q4,2022-10-01,6,5.242627314814815
SurfaceFluxes,2023-Q1,2023-01-01,10,0.03660300925925926
SurfaceFluxes,2023-Q2,2023-04-01,4,0.1505034722222222
SurfaceFluxes,2023-Q3,2023-07-01,17,0.9594097222222222
SurfaceFluxes,2023-Q4,2023-10-01,7,0.028576388888888887
SurfaceFluxes,2024-Q1,2024-01-01,16,0.5797048611111111
SurfaceFluxes,2024-Q2,2024-04-01,2,0.1366550925925926
SurfaceFluxes,2024-Q3,2024-07-01,3,5.145370370370371
SurfaceFluxes,2024-Q4,2024-10-01,3,0.12434027777777777
SurfaceFluxes,2025-Q3,2025-07-01,8,0.0657349537037037
SurfaceFluxes,2025-Q4,2025-10-01,16,0.14417824074074076
SurfaceFluxes,2026-Q1,2026-01-01,16,0.36629050925925927
SurfaceFluxes,2026-Q2,2026-04-01,1,0.783449074074074
Thermodynamics,2020-Q1,2020-01-01,12,0.00015046296296296297
Thermodynamics,2020-Q2,2020-04-01,4,0.05711805555555556
Thermodynamics,2021-Q2,2021-04-01,8,0.19355902777777778
Thermodynamics,2021-Q3,2021-07-01,12,0.020277777777777777
Thermodynamics,2021-Q4,2021-10-01,15,0.043715277777777777
Thermodynamics,2022-Q1,2022-01-01,10,1.1960706018518519
Thermodynamics,2022-Q2,2022-04-01,16,0.023564814814814816
Thermodynamics,2022-Q3,2022-07-01,14,0.09725694444444444
Thermodynamics,2022-Q4,2022-10-01,7,0.2295023148148148
Thermodynamics,2023-Q2,2023-04-01,2,0.027997685185185184
Thermodynamics,2023-Q3,2023-07-01,9,0.0823263888888889
Thermodynamics,2023-Q4,2023-10-01,4,0.3617824074074074
Thermodynamics,2024-Q1,2024-01-01,33,0.13515046296296296
Thermodynamics,2024-Q2,2024-04-01,2,2.806377314814815
Thermodynamics,2024-Q3,2024-07-01,8,2.462366898148148
Thermodynamics,2024-Q4,2024-10-01,4,0.08872106481481482
